snapshot_date,source_period,source_updated_at,name,description,sector,sector_slug,stage,geography,commit_velocity_14d,commit_velocity_change,contributors,contributor_growth,new_repos_30d,signal_type,vc_scout_score,momentum_flag,top_driver,risk_flag,github_url,website_url,profile_url
2026-01-01,q1-2026,,akto-api-security,,Cybersecurity,cybersecurity,Growth,US,311,141,53,0,1,Framework migration,,,,,https://github.com/akto-api-security,,
2026-01-01,q1-2026,,andes,,Healthcare,healthcare,Series A/B,Unknown,4,999,44,19,0,Deploy frequency spike,,,,,https://github.com/andes,,
2026-01-01,q1-2026,,atrocore,,Enterprise SaaS,enterprise-saas,Seed,EU,76,-20,18,0,0,Framework migration,,,,,https://github.com/atrocore,,
2026-01-01,q1-2026,,bagisto,,E-commerce Infrastructure,ecommerce-infrastructure,Growth,APAC,115,58,100,0,0,Framework migration,,,,,https://github.com/bagisto,,
2026-01-01,q1-2026,,bakaphp,,Social & Community,social-community,Seed,LATAM,440,19,14,8,1,Framework migration,,,,,https://github.com/bakaphp,,
2026-01-01,q1-2026,,ballerina-platform,,Healthcare,healthcare,Seed,Unknown,215,999,11,0,0,Deploy frequency spike,,,,,https://github.com/ballerina-platform,,
2026-01-01,q1-2026,,betagouv,,AgTech,agtech,Growth,EU,12,100,100,32,1,Framework migration,,,,,https://github.com/betagouv,,
2026-01-01,q1-2026,,castle-engine,,Gaming,gaming,Series A/B,Unknown,84,282,24,0,0,Deploy frequency spike,,,,,https://github.com/castle-engine,,
2026-01-01,q1-2026,,cilium,,Cybersecurity,cybersecurity,Growth,Unknown,220,224,100,0,1,Deploy frequency spike,,,,,https://github.com/cilium,,
2026-01-01,q1-2026,,dagster-io,,Data Infrastructure,data-infrastructure,Growth,US,108,192,100,19,1,Deploy frequency spike,,,,,https://github.com/dagster-io,,
2026-01-01,q1-2026,,dbt-labs,,Data Infrastructure,data-infrastructure,Growth,Unknown,481,533,100,0,2,Deploy frequency spike,,,,,https://github.com/dbt-labs,,
2026-01-01,q1-2026,,debezium,,Data Infrastructure,data-infrastructure,Growth,Unknown,61,408,100,35,0,Deploy frequency spike,,,,,https://github.com/debezium,,
2026-01-01,q1-2026,,ever-co,,HR Tech,hr-tech,Growth,US,50,79,79,0,1,Framework migration,,,,,https://github.com/ever-co,,
2026-01-01,q1-2026,,fleetdm,,Cybersecurity,cybersecurity,Growth,Unknown,360,221,100,0,0,Deploy frequency spike,,,,,https://github.com/fleetdm,,
2026-01-01,q1-2026,,gravitational,,Cybersecurity,cybersecurity,Growth,US,155,118,100,8,0,Framework migration,,,,,https://github.com/gravitational,,
2026-01-01,q1-2026,,hapifhir,,Healthcare,healthcare,Growth,Unknown,33,1550,100,79,0,Engineering hiring burst,,,,,https://github.com/hapifhir,,
2026-01-01,q1-2026,,harvard-edge,,AI & Machine Learning,ai-ml,Growth,Unknown,367,63,95,13,1,Framework migration,,,,,https://github.com/harvard-edge,,
2026-01-01,q1-2026,,horizontalsystems,,Web3,web3,Series A/B,Unknown,98,180,22,0,1,Deploy frequency spike,,,,,https://github.com/horizontalsystems,,
2026-01-01,q1-2026,,hpi-schul-cloud,,EdTech,edtech,Growth,EU,5,999,100,0,2,Deploy frequency spike,,,,,https://github.com/hpi-schul-cloud,,
2026-01-01,q1-2026,,ihmcrobotics,,Robotics,robotics,Growth,Unknown,45,800,79,6,0,Deploy frequency spike,,,,,https://github.com/ihmcrobotics,,
2026-01-01,q1-2026,,langchain-ai,,Enterprise SaaS,enterprise-saas,Growth,US,159,137,100,20,1,Framework migration,,,,,https://github.com/langchain-ai,,
2026-01-01,q1-2026,,masslight,,Healthcare,healthcare,Series A/B,Unknown,392,72,24,0,0,Framework migration,,,,,https://github.com/masslight,,
2026-01-01,q1-2026,,mdn,,EdTech,edtech,Growth,Unknown,492,13,100,0,0,Framework migration,,,,,https://github.com/mdn,,
2026-01-01,q1-2026,,naev,,Space Tech,space-tech,Growth,Unknown,185,-19,100,0,0,Framework migration,,,,,https://github.com/naev,,
2026-01-01,q1-2026,,nco,,Climate Tech,climate-tech,Series A/B,Unknown,2,100,24,205,0,Engineering hiring burst,,,,,https://github.com/nco,,
2026-01-01,q1-2026,,nextcloud,,Social & Community,social-community,Growth,Unknown,53,430,100,0,0,Deploy frequency spike,,,,,https://github.com/nextcloud,,
2026-01-01,q1-2026,,nocobase,,Developer Tools,developer-tools,Growth,Unknown,267,37,98,0,1,Framework migration,,,,,https://github.com/nocobase,,
2026-01-01,q1-2026,,odpi,,Data Infrastructure,data-infrastructure,Growth,Unknown,17,-60,62,0,0,Framework migration,,,,,https://github.com/odpi,,
2026-01-01,q1-2026,,ohrrpgce,,Gaming,gaming,Pre-seed,Unknown,38,280,3,240,0,Engineering hiring burst,,,,,https://github.com/ohrrpgce,,
