name,startup_key,website_url,resolved_url,commercial_fetched_at,http_status,pricing_signal,customer_evidence_signal,enterprise_signal,careers_signal,security_signal,integrations_signal,developer_docs_signal,self_serve_signal,sales_motion_signal,commercial_signal_count,commercial_momentum_score,page_word_count,page_link_count,commercial_maturity_score,previous_commercial_maturity_score,previous_commercial_fetched_at,commercial_maturity_change
SatDump,satdump,https://satdump.org,https://www.satdump.org/,2026-08-17T06:52:22.241574+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,452.0,25.0,5.0,5.0,2026-08-10T07:38:21.284529+00:00,0.0
ZemerTeam,zemerteam,https://zemer.io,https://zemer.io/,2026-08-17T06:52:22.268726+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,283.0,14.0,5.0,5.0,2026-08-10T07:38:21.248510+00:00,0.0
TaloDev,talodev,https://trytalo.com,https://trytalo.com/,2026-08-17T06:52:22.330338+00:00,200,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,38.0,1049.0,77.0,38.0,,,
XCO-Agency,xco-agency,https://xco.agency,https://xco.agency/,2026-08-17T06:52:22.439189+00:00,200,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,53.0,897.0,85.0,53.0,53.0,2026-08-10T07:38:21.739599+00:00,0.0
OCSInventory-NG,ocsinventory-ng,http://www.ocsinventory-ng.org,https://ocsinventory-ng.org/?lang=fr,2026-08-17T06:52:22.466113+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,847.0,25.0,0.0,0.0,2026-08-10T07:38:22.297418+00:00,0.0
activist-org,activist-org,https://activist.org,https://activist.org/,2026-08-17T06:52:22.471776+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2026-08-10T07:38:21.367063+00:00,0.0
accordproject,accordproject,https://www.accordproject.org,https://accordproject.org/,2026-08-17T06:52:22.560370+00:00,200,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,26.0,759.0,63.0,26.0,26.0,2026-08-10T07:38:21.364040+00:00,0.0
alloy-rs,alloy-rs,https://www.paradigm.xyz/oss/alloy,https://www.paradigm.xyz/oss/alloy,2026-08-17T06:52:22.623275+00:00,200,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,386.0,60.0,10.0,10.0,2026-08-10T07:38:21.693565+00:00,0.0
Synapsr,synapsr,https://synapsr.io,https://synapsr.io/,2026-08-17T06:52:22.640601+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,736.0,21.0,0.0,0.0,2026-08-10T07:38:21.356923+00:00,0.0
Yellow-Dog-Man,yellow-dog-man,https://yellowdogman.com,https://yellowdogman.com/,2026-08-17T06:52:22.648457+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,14.0,0.0,0.0,2026-08-10T07:38:21.469215+00:00,0.0
ai-shifu,ai-shifu,https://ai-shifu.com,https://ai-shifu.com/,2026-08-17T06:52:22.659749+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,13.0,0.0,0.0,2026-08-10T07:38:21.671093+00:00,0.0
aptos-labs,aptos-labs,https://aptoslabs.com,https://aptoslabs.com/,2026-08-17T06:52:22.686819+00:00,200,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,938.0,40.0,10.0,10.0,2026-08-10T07:38:21.640016+00:00,0.0
aureuserp,aureuserp,https://aureuserp.com,https://aureuserp.com/,2026-08-17T06:52:22.827952+00:00,200,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,6.0,70.0,1224.0,85.0,70.0,70.0,2026-08-10T07:38:22.487789+00:00,0.0
TheXTech,thextech,https://wohlsoft.ru/projects/TheXTech/,https://wohlsoft.ru/projects/TheXTech/,2026-08-17T06:52:22.932052+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,8301.0,185.0,5.0,5.0,2026-08-10T07:38:22.174664+00:00,0.0
ar-io,ar-io,https://ar.io,https://ar.io/,2026-08-17T06:52:23.026576+00:00,200,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,39.0,852.0,59.0,39.0,39.0,2026-08-10T07:38:21.832516+00:00,0.0
argotorg,argotorg,https://argot.org,https://www.argot.org/,2026-08-17T06:52:23.164071+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,14.0,0.0,0.0,2026-08-10T07:38:22.260719+00:00,0.0
akaunting,akaunting,https://akaunting.com,https://akaunting.com/,2026-08-17T06:52:23.207424+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,620.0,86.0,5.0,5.0,2026-08-10T07:38:22.441562+00:00,0.0
